top - 15:05:08 up 119 days,  4:17,  1 user,  load average: 1,63, 1,61, 1,
Tasks: 1134 total,   1 running, 1133 sleeping,   0 stopped,   0 zombie
%Cpu(s):  7,4 us,  5,1 sy,  0,0 ni, 85,3 id,  1,5 wa,  0,0 hi,  0,7 si,  
МиБ Mem :  31926,7 total,    590,5 free,  24176,4 used,   7159,8 buff/cac
МиБ Swap:   2048,0 total,      0,0 free,   2048,0 used.   5955,2 avail Me

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+
 838292 user      20   0  267756  15224   5060 S   0,0   0,0   0:00.05
 838303 user      20   0 1344148  27732   3636 S   0,0   0,1   0:00.19
 838334 user      20   0  834312  16912   5524 S   0,0   0,1   0:27.09
 928914 root       0 -20       0      0      0 I   0,0   0,0   0:04.35
 952254 root      20   0 1230100    744      0 S   0,0   0,0   0:03.02
 952262 root      20   0 1230100    700      0 S   0,0   0,0   0:02.95
 952285 root      20   0  719596   6788   4844 S   0,0   0,0   3:39.98
 952315 root      20   0  719852   3552   1696 S   0,0   0,0   3:35.79
 952336 root      20   0  272156   4228     24 S   0,0   0,0   2:45.35
 952343 systemd+  20   0 1587024 430652      0 S   0,0   1,3  38:21.68
 952469 root      20   0 1230100    676      0 S   0,0   0,0   0:03.66
 952476 root      20   0 1082124    632      0 S   0,0   0,0   0:02.97
 952489 root      20   0  719660   1700      0 S   0,0   0,0   3:29.41
 952511 root      20   0   11388   1124      0 S   0,0   0,0   0:00.02
 952554 systemd+  20   0   12248   1896      4 S   0,0   0,0   0:00.02
 952555 systemd+  20   0   12248   1908      4 S   0,0   0,0   0:00.04
 952556 systemd+  20   0   12248   1756      8 S   0,0   0,0   0:00.00
 952557 systemd+  20   0   12248   1888      8 S   0,0   0,0   0:00.03
 952558 systemd+  20   0   12252   1700      4 S   0,0   0,0   0:00.00
 952559 systemd+  20   0   12248   1684      8 S   0,0   0,0   0:00.00
 979123 www-data  20   0  299820  30200     12 S   0,0   0,1   0:02.90
1028526 user      20   0 2380976  34664  22788 S   0,0   0,1   0:00.29
1049752 root      20   0       0      0      0 I   0,0   0,0   0:01.53
1055640 user      20   0 2380972  39244  27452 S   0,0   0,1   0:00.29
1055847 user      20   0 2380976  40832  28944 S   0,0   0,1   0:00.26
1060059 user      20   0 5171776  95524  16500 S   0,0   0,3   0:06.76
1082903 root      20   0       0      0      0 I   0,0   0,0   0:01.20
1087441 root      20   0       0      0      0 I   0,0   0,0   0:00.73
1087680 user      20   0    8828   5432   3616 S   0,0   0,0   0:00.69
1087986 root       0 -20       0      0      0 I   0,0   0,0   0:50.63
1108483 root      20   0       0      0      0 I   0,0   0,0   0:01.07
1114162 user      20   0 3871816 990,9m  46520 S   0,0   3,1  31:02.99
1124370 www-data  20   0  295572  24980     12 S   0,0   0,1   0:00.18
1124395 www-data  20   0  295572  24452     12 S   0,0   0,1   0:00.13
1124671 root      20   0       0      0      0 I   0,0   0,0   0:01.36
1136238 user      20   0 3476648 990508  36192 S   0,0   3,0  15:33.76
1136696 user      20   0 3664876 885588  43100 S   0,0   2,7  99:22.87
1143418 root      20   0       0      0      0 I   0,0   0,0   0:00.56
1147034 root      20   0       0      0      0 I   0,0   0,0   0:00.38
1149471 root      20   0       0      0      0 I   0,0   0,0   0:00.22
1153722 root      20   0       0      0      0 I   0,0   0,0   0:00.38
1164966 root      20   0       0      0      0 I   0,0   0,0   0:00.30
1172137 root      20   0       0      0      0 I   0,0   0,0   0:00.42
1180290 root      20   0       0      0      0 I   0,0   0,0   0:00.16
1181951 root      20   0       0      0      0 I   0,0   0,0   0:00.03
1182028 root      20   0       0      0      0 I   0,0   0,0   0:00.25
1182785 root      20   0       0      0      0 I   0,0   0,0   0:00.39
1184630 root      20   0       0      0      0 I   0,0   0,0   0:00.18
1188466 root      20   0       0      0      0 I   0,0   0,0   0:00.16
1188931 root      20   0       0      0      0 I   0,0   0,0   0:00.14
1193015 root      20   0       0      0      0 I   0,0   0,0   0:00.08
1193117 root      20   0       0      0      0 I   0,0   0,0   0:00.05
1196967 root      20   0       0      0      0 I   0,0   0,0   0:00.00
1200351 root      20   0       0      0      0 I   0,0   0,0   0:00.00
1200949 root      20   0       0      0      0 I   0,0   0,0   0:00.02
1203020 root      20   0       0      0      0 I   0,0   0,0   0:00.01
1203198 root      20   0       0      0      0 I   0,0   0,0   0:00.23
1203462 root      20   0       0      0      0 I   0,0   0,0   0:00.06
1205356 user      20   0 2509800  73556  39020 S   0,0   0,2  46:08.60
1206010 root      20   0       0      0      0 I   0,0   0,0   0:00.00
1206380 root      20   0       0      0      0 I   0,0   0,0   0:00.06
1206399 root      20   0       0      0      0 I   0,0   0,0   0:00.04
1210179 root      20   0       0      0      0 I   0,0   0,0   0:00.00
1211017 root      20   0       0      0      0 I   0,0   0,0   0:00.00
1211160 root       0 -20       0      0      0 I   0,0   0,0   0:00.00
1212158 root      20   0       0      0      0 I   0,0   0,0   0:00.12
1213058 root      20   0       0      0      0 I   0,0   0,0   0:00.02
1213115 root      20   0       0      0      0 I   0,0   0,0   0:00.00
1214766 root      20   0   27140   4044   1952 S   0,0   0,0   0:00.00
1214770 root      20   0   27140   3904   1824 S   0,0   0,0   0:00.00
1214771 root      20   0   27140   4044   1952 S   0,0   0,0   0:00.00
1214776 root      20   0   27140   3904   1824 S   0,0   0,0   0:00.00
1214777 root      20   0   27140   3904   1824 S   0,0   0,0   0:00.00
1214778 root      20   0   27140   3904   1824 S   0,0   0,0   0:00.00
1214779 root      20   0   27140   3904   1824 S   0,0   0,0   0:00.00
1214780 root      20   0   27140   3904   1824 S   0,0   0,0   0:00.00
1214781 root      20   0   27140   4044   1952 S   0,0   0,0   0:00.00
1214782 root      20   0   27140   3904   1824 S   0,0   0,0   0:00.00
1214784 root      20   0   27140   3904   1824 S   0,0   0,0   0:00.00
1214785 root      20   0   27140   3904   1824 S   0,0   0,0   0:00.00
1214792 root      20   0 1082380   3480   2708 S   0,0   0,0   0:00.00
1214798 root      20   0 1230100   2972   2296 S   0,0   0,0   0:00.00
1214812 root      20   0 1156368   3548   2772 S   0,0   0,0   0:00.00
1214819 root      20   0 1082380   3488   2716 S   0,0   0,0   0:00.00
1214832 root      20   0  719276   8876   7244 S   0,0   0,0   0:00.00
1214854 root      20   0    5736   3132   2896 S   0,0   0,0   0:00.02
1214885 root      20   0    4268    516    452 S   0,0   0,0   0:00.00
1318012 user      20   0 4158568   1,0g  14224 S   0,0   3,3 235:46.88
1383339 root      20   0 1303576      0      0 S   0,0   0,0   0:05.42
1383348 root      20   0 1377564      0      0 S   0,0   0,0   0:05.40
1383384 root      20   0 1230100    332      0 S   0,0   0,0   0:05.42
1383390 root      20   0 1451296      0      0 S   0,0   0,0   0:05.43
1383435 root      20   0  719596   3020   1236 S   0,0   0,0   6:28.76
1383470 root      20   0  719596   1588      0 S   0,0   0,0   6:32.86
1383490 systemd+  20   0 2430440 192844      0 S   0,0   0,6 630:06.22
1383496 root      20   0  109312    700    520 S   0,0   0,0   1:25.96
1383516 root      20   0 1303576    108      0 S   0,0   0,0   0:05.37
1383527 root      20   0 1229844      4      0 S   0,0   0,0   0:05.33
1383551 root      20   0 1156112    144      0 S   0,0   0,0   0:05.44
1383558 root      20   0 1303832    152      0 S   0,0   0,0   0:05.32
1383606 root      20   0  719596   1708      0 S   0,0   0,0   6:38.52
1383638 root      20   0  719596   1764      0 S   0,0   0,0   6:27.99
1383665 root      20   0  719852   3744   1868 S   0,0   0,0   6:33.23
1383694 root      20   0   13240     36      0 S   0,0   0,0   0:00.02
1383700 systemd+  20   0    4632     52      0 S   0,0   0,0   0:15.90
1383728 root      20   0   13240      0      0 S   0,0   0,0   0:00.02
1383855 root      20   0  719596   3060   1300 S   0,0   0,0   6:43.92
1383890 root      20   0  719596   2668   1012 S   0,0   0,0   6:22.75
1383930 root      20   0   13240     24      0 S   0,0   0,0   0:00.01
1383951 root      20   0   11640     36      0 S   0,0   0,0   0:00.01
1383971 root      20   0   13240     64      0 S   0,0   0,0   0:00.00
1383973 root      20   0  118912   5800    260 S   0,0   0,0  21:46.13
